order_id;customer_id;orderdate;employee_id;deliverydate
1;8;2020-10-07;5;2020-10-09
2;200;2020-04-20;7;2020-04-22
3;76;2020-08-27;9;2020-08-29
4;33;2021-09-19;10;2021-09-21
5;116;2021-09-30;10;2021-10-02
6;155;2021-02-27;6;2021-03-01
7;135;2022-03-01;7;2022-03-03
8;130;2019-11-30;3;2019-12-02
9;81;2022-02-28;2;2022-03-02
10;21;2021-02-20;5;2021-02-22
11;144;2020-12-31;6;2021-01-02
12;103;2020-07-11;5;2020-07-13
13;15;2021-01-23;8;2021-01-25
14;192;2021-04-05;4;2021-04-07
15;186;2021-09-12;10;2021-09-14
16;113;2022-07-07;9;2022-07-09
17;120;2021-09-03;8;2021-09-05
18;158;2022-08-18;6;2022-08-20
19;150;2021-05-02;1;2021-05-04
20;93;2019-09-16;3;2019-09-18
21;42;2021-05-04;9;2021-05-06
22;86;2022-04-25;7;2022-04-27
23;167;2021-06-28;9;2021-06-30
24;143;2020-08-03;6;2020-08-05
25;42;2021-11-06;1;2021-11-08
26;36;2020-04-12;4;2020-04-14
27;110;2020-01-20;10;2020-01-22
28;50;2021-09-18;6;2021-09-20
29;161;2020-04-05;10;2020-04-07
30;165;2021-05-18;4;2021-05-20
31;163;2020-06-03;1;2020-06-05
32;93;2021-07-07;7;2021-07-09
33;20;2022-06-19;1;2022-06-21
34;111;2021-10-22;6;2021-10-24
35;182;2020-12-26;7;2020-12-28
36;92;2020-11-29;9;2020-12-01
37;61;2021-02-26;4;2021-02-28
38;145;2021-04-23;4;2021-04-25
39;74;2020-03-12;6;2020-03-14
40;81;2021-06-13;10;2021-06-15
41;48;2020-05-31;2;2020-06-02
42;186;2020-05-18;7;2020-05-20
43;30;2020-04-07;8;2020-04-09
44;36;2022-03-21;5;2022-03-23
45;120;2022-07-26;5;2022-07-28
46;157;2022-07-16;1;2022-07-18
47;2;2021-01-02;9;2021-01-04
48;120;2020-08-13;4;2020-08-15
49;96;2020-06-01;6;2020-06-03
50;61;2020-07-04;6;2020-07-06
51;191;2021-07-03;9;2021-07-05
52;182;2020-05-22;3;2020-05-24
53;28;2020-09-19;9;2020-09-21
54;172;2021-01-13;9;2021-01-15
55;139;2020-02-04;6;2020-02-06
