order_id;customer_id;orderdate;employee_id;deliverydate
1;188;2022-03-21;8;2022-03-24
2;112;2020-08-06;10;2020-08-09
3;132;2022-06-20;5;2022-06-23
4;168;2019-11-13;6;2019-11-16
5;48;2020-05-20;6;2020-05-23
6;12;2020-04-26;9;2020-04-29
7;51;2021-10-29;8;2021-11-01
8;24;2019-11-04;5;2019-11-07
9;12;2021-01-05;3;2021-01-08
10;98;2021-06-16;4;2021-06-19
11;97;2022-03-19;5;2022-03-22
12;166;2020-12-03;5;2020-12-06
13;122;2019-12-30;8;2020-01-02
14;103;2021-01-07;7;2021-01-10
15;140;2022-04-23;5;2022-04-26
16;166;2020-12-03;6;2020-12-06
17;130;2021-02-04;1;2021-02-07
18;9;2022-07-09;4;2022-07-12
19;122;2022-06-03;8;2022-06-06
20;62;2021-06-14;3;2021-06-17
21;98;2021-10-09;3;2021-10-12
22;61;2021-06-09;3;2021-06-12
23;30;2022-03-08;6;2022-03-11
24;173;2021-02-08;6;2021-02-11
25;1;2021-09-28;3;2021-10-01
26;192;2021-11-22;4;2021-11-25
27;194;2021-05-27;2;2021-05-30
28;17;2019-12-07;5;2019-12-10
29;71;2020-08-08;3;2020-08-11
30;131;2020-05-18;9;2020-05-21
31;34;2022-04-04;1;2022-04-07
32;101;2021-05-31;2;2021-06-03
33;0;2020-12-25;5;2020-12-28
34;77;2021-01-27;6;2021-01-30
35;65;2021-08-10;4;2021-08-13
36;11;2021-05-08;8;2021-05-11
37;129;2021-03-02;4;2021-03-05
38;139;2021-11-20;1;2021-11-23
39;50;2019-09-28;5;2019-10-01
40;40;2021-04-19;8;2021-04-22
41;140;2021-06-23;3;2021-06-26
42;69;2022-07-13;5;2022-07-16
43;55;2021-09-27;7;2021-09-30
44;54;2022-01-13;3;2022-01-16
45;37;2022-03-28;1;2022-03-31
46;57;2021-05-14;10;2021-05-17
47;154;2020-05-18;7;2020-05-21
48;167;2021-06-08;5;2021-06-11
49;60;2019-10-19;8;2019-10-22
50;136;2020-12-02;3;2020-12-05
51;52;2022-04-23;4;2022-04-26
52;101;2021-01-30;10;2021-02-02
53;6;2022-04-01;9;2022-04-04
54;6;2021-02-05;3;2021-02-08
55;183;2021-05-29;6;2021-06-01
56;90;2020-04-17;10;2020-04-20
57;112;2021-08-14;10;2021-08-17
58;142;2021-05-31;10;2021-06-03
59;178;2022-08-28;10;2022-08-31
60;51;2020-08-24;10;2020-08-27
61;123;2020-12-29;10;2021-01-01
62;123;2022-07-07;1;2022-07-10
63;184;2021-02-15;6;2021-02-18
64;67;2021-04-24;1;2021-04-27
65;162;2022-08-25;8;2022-08-28
66;73;2021-11-05;9;2021-11-08
67;155;2021-03-23;4;2021-03-26
68;21;2021-09-15;4;2021-09-18
69;20;2021-07-04;5;2021-07-07
70;63;2021-09-23;1;2021-09-26
71;2;2021-09-26;6;2021-09-29
72;165;2022-02-10;3;2022-02-13
73;144;2020-07-23;8;2020-07-26
74;115;2021-11-08;9;2021-11-11
75;70;2021-07-28;5;2021-07-31
76;62;2021-03-01;6;2021-03-04
77;87;2020-01-19;6;2020-01-22
78;1;2021-07-09;6;2021-07-12
79;160;2020-03-18;2;2020-03-21
80;106;2020-01-31;9;2020-02-03
81;24;2020-02-16;4;2020-02-19
82;87;2021-11-28;10;2021-12-01
83;104;2022-03-13;6;2022-03-16
84;187;2020-07-16;5;2020-07-19
85;97;2021-02-20;4;2021-02-23
86;74;2020-07-04;4;2020-07-07
87;18;2021-03-07;7;2021-03-10
88;192;2020-06-28;7;2020-07-01
89;159;2022-01-21;4;2022-01-24
90;99;2022-01-30;4;2022-02-02
91;80;2022-05-02;10;2022-05-05
92;131;2020-02-25;6;2020-02-28
93;120;2020-02-04;9;2020-02-07
94;77;2022-08-05;10;2022-08-08
95;110;2022-02-04;7;2022-02-07
96;17;2021-03-23;9;2021-03-26
97;98;2021-09-01;10;2021-09-04
98;148;2020-11-12;1;2020-11-15
99;85;2022-01-16;4;2022-01-19
100;148;2022-06-23;4;2022-06-26
101;150;2021-11-29;6;2021-12-02
102;119;2019-12-19;4;2019-12-22
103;62;2019-12-09;6;2019-12-12
104;162;2021-05-05;2;2021-05-08
105;36;2022-05-21;3;2022-05-24
106;18;2020-03-20;2;2020-03-23
107;179;2021-09-19;4;2021-09-22
108;122;2022-04-16;4;2022-04-19
109;128;2022-03-15;1;2022-03-18
110;71;2021-03-16;9;2021-03-19
111;112;2019-10-20;10;2019-10-23
112;131;2021-05-29;8;2021-06-01
113;70;2022-08-13;1;2022-08-16
114;70;2021-02-21;8;2021-02-24
115;112;2022-02-13;6;2022-02-16
116;126;2022-01-20;3;2022-01-23
117;82;2020-05-27;7;2020-05-30
118;180;2021-02-16;10;2021-02-19
119;178;2019-12-15;8;2019-12-18
120;179;2020-05-14;2;2020-05-17
121;89;2021-11-10;1;2021-11-13
122;109;2020-10-14;6;2020-10-17
123;181;2020-10-08;5;2020-10-11
124;181;2020-07-06;3;2020-07-09
125;112;2021-03-09;7;2021-03-12
126;179;2022-06-21;6;2022-06-24
127;44;2022-03-04;4;2022-03-07
128;9;2022-04-13;9;2022-04-16
129;100;2022-01-01;3;2022-01-04
130;135;2020-05-07;1;2020-05-10
131;122;2020-10-08;10;2020-10-11
132;75;2020-07-26;8;2020-07-29
133;63;2020-09-24;2;2020-09-27
134;49;2022-01-07;4;2022-01-10
135;161;2021-02-10;9;2021-02-13
136;126;2021-07-12;1;2021-07-15
137;133;2022-05-30;9;2022-06-02
138;9;2019-10-29;2;2019-11-01
139;15;2020-05-18;3;2020-05-21
140;54;2020-02-12;2;2020-02-15
141;197;2020-11-09;1;2020-11-12
142;174;2021-03-02;3;2021-03-05
143;159;2021-11-28;1;2021-12-01
144;57;2020-04-23;4;2020-04-26
145;82;2021-08-14;10;2021-08-17
146;140;2021-01-18;7;2021-01-21
147;7;2020-02-25;7;2020-02-28
148;169;2021-03-29;9;2021-04-01
149;143;2021-08-11;6;2021-08-14
150;89;2022-05-27;5;2022-05-30
151;131;2022-08-20;6;2022-08-23
152;121;2020-12-23;5;2020-12-26
153;121;2021-09-12;8;2021-09-15
154;47;2021-02-13;1;2021-02-16
155;154;2019-11-23;5;2019-11-26
156;184;2020-01-28;4;2020-01-31
157;34;2020-02-02;3;2020-02-05
158;191;2021-12-24;2;2021-12-27
159;171;2020-09-16;7;2020-09-19
160;170;2020-11-29;3;2020-12-02
161;136;2019-10-15;10;2019-10-18
162;124;2020-05-11;8;2020-05-14
163;107;2019-09-29;9;2019-10-02
164;100;2022-08-11;9;2022-08-14
165;2;2021-04-02;6;2021-04-05
166;171;2022-06-04;3;2022-06-07
167;63;2022-04-09;4;2022-04-12
168;60;2022-06-02;2;2022-06-05
169;86;2022-02-13;5;2022-02-16
170;122;2020-04-29;3;2020-05-02
171;72;2020-01-17;10;2020-01-20
172;9;2020-08-30;1;2020-09-02
173;146;2022-07-22;3;2022-07-25
174;175;2022-07-13;2;2022-07-16
175;17;2022-01-21;8;2022-01-24
176;22;2020-03-18;8;2020-03-21
177;37;2022-08-21;6;2022-08-24
178;140;2020-05-10;10;2020-05-13
179;43;2022-04-13;5;2022-04-16
180;159;2020-11-12;5;2020-11-15
181;96;2020-03-19;7;2020-03-22
182;62;2019-10-09;5;2019-10-12
183;74;2020-08-02;2;2020-08-05
184;36;2022-06-13;4;2022-06-16
185;72;2020-08-04;3;2020-08-07
186;161;2022-01-20;2;2022-01-23
187;44;2022-06-11;3;2022-06-14
188;128;2022-08-19;3;2022-08-22
189;66;2020-11-29;4;2020-12-02
190;179;2021-08-18;6;2021-08-21
191;177;2021-10-30;5;2021-11-02
192;68;2022-06-09;2;2022-06-12
193;57;2019-10-23;6;2019-10-26
194;167;2019-11-26;10;2019-11-29
195;18;2020-03-16;9;2020-03-19
196;18;2020-05-12;2;2020-05-15
197;129;2019-09-16;5;2019-09-19
198;92;2020-05-21;4;2020-05-24
199;119;2020-04-06;10;2020-04-09
200;55;2019-11-10;6;2019-11-13
201;83;2021-02-08;9;2021-02-11
202;116;2019-11-28;10;2019-12-01
203;144;2021-12-16;2;2021-12-19
204;120;2019-12-19;1;2019-12-22
205;111;2020-09-28;8;2020-10-01
206;136;2021-01-21;8;2021-01-24
207;176;2021-02-07;6;2021-02-10
208;0;2020-02-02;2;2020-02-05
209;154;2020-03-24;9;2020-03-27
