order_id;product_id;quantity
13760;18;14
11024;18;89
14570;4;40
11100;18;87
12177;18;64
10390;20;54
10765;2;96
13451;13;85
10267;14;62
12679;16;47
11886;9;46
11740;20;82
11781;1;64
11494;5;36
13171;7;33
13909;10;11
11581;13;66
13739;6;54
11582;20;94
14643;8;19
11286;19;2
13960;2;71
10889;16;99
11741;10;87
10739;16;83
14759;6;63
10828;18;58
10196;9;80
11998;3;60
10662;14;8
13245;10;3
11544;3;85
14054;12;39
14558;1;97
14152;12;25
12625;2;50
10466;9;92
10298;14;97
10362;17;98
10763;8;100
14463;8;19
14196;18;26
10651;12;2
13815;18;46
13509;6;29
12242;4;5
14217;5;56
10432;13;51
13517;4;71
11044;19;94
13287;20;43
11532;12;92
13668;9;73
14957;8;15
14901;2;67
13168;11;65
10463;11;99
14794;4;74
11971;4;1
12968;4;64
14902;6;9
13999;14;39
14820;18;71
13296;9;86
10925;12;96
14368;20;13
12409;4;38
14047;17;44
10021;10;32
10906;1;48
14988;19;82
11503;6;40
10188;3;12
12067;8;88
12126;2;78
12778;18;84
13827;2;61
10428;16;58
14892;18;65
13724;3;6
13145;19;3
11188;15;67
12558;4;12
11808;8;22
12263;5;73
11497;19;2
12710;6;37
13955;9;55
14121;17;86
10105;20;4
14361;13;28
13471;16;88
10703;18;83
14823;6;8
13837;3;15
13849;19;92
13026;6;80
14364;7;85
14293;13;59
12287;4;89
12866;14;35
12883;20;65
10044;5;93
10992;3;17
14541;19;48
12285;1;30
12961;12;94
12430;12;61
11997;16;30
13028;3;65
12231;13;95
10713;7;5
13708;5;67
11064;15;85
13111;1;19
14936;6;87
14845;10;85
10236;3;20
12358;11;62
14597;15;97
10745;1;72
13276;11;63
13055;17;69
11268;13;92
14371;8;46
13462;8;38
12434;19;5
11251;10;57
11690;8;62
13626;10;79
10918;2;36
12622;18;38
12231;5;34
11247;15;59
14330;4;31
12974;3;40
10844;11;13
14150;20;28
14790;19;50
10821;2;100
12180;10;8
13184;4;99
14156;8;23
11491;4;53
12726;18;15
11432;6;96
12269;17;57
10304;11;26
14188;6;14
13907;4;100
14020;18;87
12881;6;38
14540;4;85
14074;15;93
13043;12;62
13690;9;82
13607;7;14
11092;18;86
10340;3;84
10542;9;31
11865;3;48
10666;18;48
10841;4;25
11593;16;30
13030;19;61
12131;19;28
13699;18;28
11881;17;35
14794;16;16
11936;9;93
14282;11;3
12986;1;39
12066;6;40
10946;19;19
10984;1;12
14404;2;89
10322;16;54
13989;19;36
11877;5;13
12945;16;48
10537;6;43
10903;7;81
14276;11;45
14188;2;96
13293;8;64
14220;8;50
13014;5;46
10979;19;52
13219;18;7
14805;14;87
13743;8;81
14532;8;3
14257;8;99
11537;3;27
12898;17;66
13596;17;13
12617;4;74
11584;8;8
10072;5;33
13217;10;39
12885;14;62
11511;14;47
12941;15;33
12276;1;65
11603;18;56
14530;6;83
14703;5;59
10439;8;60
14066;9;25
13372;2;24
12813;12;3
10699;15;95
14274;4;64
11600;2;45
14350;7;22
12621;1;13
12732;16;60
11790;20;73
10769;7;12
11477;8;62
13985;2;93
13133;16;60
12966;19;98
13956;10;100
11889;17;62
13062;2;31
14939;2;33
13721;4;48
13357;8;7
11918;3;95
10742;19;46
11833;10;37
10630;1;99
13598;5;21
10712;4;97
12411;2;44
11682;12;15
14937;14;69
12847;12;91
14930;6;6
11572;17;89
10912;16;12
10978;7;63
12546;1;59
12812;14;17
13191;15;76
11799;16;98
11576;16;16
13364;10;12
14737;15;33
12826;6;32
12329;7;78
13854;18;86
13290;12;100
13147;14;94
14207;3;11
11787;16;29
10898;4;90
10178;10;11
11700;9;4
11289;20;88
12879;11;19
12197;1;18
11061;1;36
11432;1;62
13538;17;53
11518;2;42
11093;13;62
13493;7;8
13304;12;80
10714;14;3
13414;13;68
13119;9;28
13459;10;21
12335;6;30
14227;15;47
14684;1;54
13727;6;42
12041;15;57
10357;2;71
10217;15;23
10907;17;39
10943;6;41
11064;16;75
12806;8;49
10205;8;57
10609;20;37
12185;1;32
14212;6;22
14916;11;20
14076;2;19
13313;4;24
12197;10;97
14032;16;15
14760;6;36
14249;17;76
11684;6;79
12248;5;97
14418;2;2
12397;20;99
10594;11;20
10942;17;98
14741;12;39
10212;20;64
11990;10;4
10504;11;82
11577;6;61
14048;19;17
14997;11;60
14573;10;75
13045;1;30
11629;16;16
11931;15;91
10945;20;96
10193;3;54
10951;19;74
12682;11;47
13926;17;63
10090;6;53
14090;10;90
10615;16;60
11676;14;70
11337;20;17
11702;13;72
10490;6;38
14270;5;44
11037;3;100
14952;20;43
12309;10;47
11414;17;22
13351;18;79
13733;8;87
13670;2;5
10136;12;19
13201;9;46
13745;9;71
10730;13;74
10596;1;66
12181;10;12
12935;17;63
14342;9;46
11781;18;40
11975;7;89
13827;12;21
11925;15;79
13805;11;51
10239;8;12
11835;14;47
14715;2;19
12067;18;52
10126;5;17
13634;15;16
14779;7;29
14057;18;74
13698;5;85
12609;4;78
10473;16;30
11057;5;42
10200;11;55
