order_id;product_id;quantity
4867;8;64
6082;14;17
841;14;5
3163;6;50
7011;8;23
4014;5;27
7864;17;35
9014;3;68
9549;16;25
7774;18;80
3536;20;1
8374;2;42
4769;19;99
4635;15;49
3938;20;8
7758;8;77
3904;3;3
4206;8;37
4694;4;79
2230;19;2
1965;5;91
8019;6;32
3030;5;96
2641;11;63
592;4;55
4616;18;87
2624;12;93
9889;1;7
5753;13;22
6646;9;22
8602;19;8
6526;1;69
3457;1;54
6467;11;98
8661;9;51
9398;14;25
5286;4;86
2253;14;16
6568;5;97
6456;9;4
7923;10;87
4731;1;55
2081;18;37
7850;15;72
3295;13;9
9168;3;33
3907;3;86
813;8;64
8082;9;75
5276;8;36
6688;13;61
1229;17;84
1792;11;83
7408;16;90
6984;2;11
2364;10;55
1153;7;9
8760;1;10
8623;2;70
1331;18;1
7846;17;28
6767;10;67
4570;13;42
3424;20;29
9643;17;58
6360;4;51
3544;7;84
4158;14;19
4625;12;78
6361;16;26
3636;10;40
8403;18;30
5101;1;9
5506;15;58
7655;2;94
1593;2;56
7383;7;83
1274;1;34
8879;4;75
4826;17;97
5544;4;87
3104;8;41
2512;11;84
9645;12;97
8087;20;15
1463;10;7
3891;9;76
8942;7;2
153;18;30
7494;12;32
1575;6;50
344;20;19
330;19;68
7298;3;76
9149;2;46
7849;12;74
63;9;100
210;9;53
2989;19;95
4826;19;50
7571;5;15
4484;18;22
6507;13;18
8658;11;81
351;5;5
9150;8;90
4510;20;40
3889;16;38
8825;19;54
5347;11;25
5445;7;87
8340;13;70
6783;6;74
9325;13;96
3100;15;68
8386;19;70
6920;2;12
3746;14;14
322;3;76
5921;20;89
9922;4;3
4191;2;60
2682;17;69
7083;8;76
4500;17;2
8616;6;22
8190;3;83
3297;12;49
5045;17;98
818;3;94
7978;10;14
6128;18;34
9067;17;88
2157;8;9
8546;7;52
8774;9;53
1016;2;42
1213;6;65
6774;10;96
7657;3;13
5900;10;68
7009;19;47
2649;10;12
2586;16;7
6908;16;94
3433;7;25
3330;10;50
9002;16;58
5188;8;42
7392;19;50
24;19;44
4817;19;51
6895;18;32
5529;3;87
9074;10;15
4331;7;42
9132;3;47
2673;16;7
4118;9;20
3981;7;55
7867;4;2
6716;5;29
3882;19;16
1057;1;50
6079;3;9
2178;7;37
787;14;1
6145;4;62
5156;12;77
219;7;96
2753;14;64
2999;2;83
3915;17;51
8137;16;83
1275;7;34
6522;16;13
8507;13;41
9583;12;60
5261;4;56
9047;16;2
357;15;46
5743;11;68
546;13;41
8969;12;92
4399;19;92
759;1;44
1656;15;31
2605;3;3
